SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JBCHEPHARM, EQ, 18-Oct-2019,359.25,362.2,371.9,357.6,370.0,366.55,364.19,139422,507.76,3293, 118007, 84.64
JBFIND, EQ, 18-Oct-2019,7.05,7.25,7.4,7.05,7.4,7.4,7.27,10145,0.74,53, 10005, 98.62
JBMA, EQ, 18-Oct-2019,224.25,224.95,227.5,217.25,221.45,219.95,223.16,60241,134.43,2244, 27027, 44.86
JCHAC, EQ, 18-Oct-2019,1989.4,1999.9,2049.0,1974.1,2035.0,2039.0,2024.35,5411,109.54,725, 3231, 59.71
JHS, EQ, 18-Oct-2019,15.7,16.05,16.7,15.85,16.7,16.45,16.45,24382,4.01,295, 18606, 76.31
JINDALPOLY, EQ, 18-Oct-2019,217.0,219.55,227.25,218.0,222.2,222.75,222.15,21828,48.49,685, 11231, 51.45
JINDALSAW, EQ, 18-Oct-2019,84.9,84.85,89.0,84.4,88.3,88.0,86.78,900701,781.64,6721, 368293, 40.89
JINDALSTEL, EQ, 18-Oct-2019,104.55,104.4,108.4,103.7,107.0,107.65,106.76,18095628,19318.49,64691, 992726, 5.49
JINDRILL, EQ, 18-Oct-2019,79.4,79.1,82.0,76.65,79.0,79.3,79.69,12864,10.25,325, 7299, 56.74
JINDWORLD, EQ, 18-Oct-2019,58.25,58.9,59.45,58.0,58.9,58.45,58.64,188854,110.75,1403, 59253, 31.38
JISLDVREQS, EQ, 18-Oct-2019,9.35,8.9,9.8,8.9,8.9,8.95,8.95,186746,16.71,375, 157436, 84.30
JISLJALEQS, EQ, 18-Oct-2019,11.7,11.8,12.1,10.6,11.15,11.25,11.37,6304586,716.8,11579, 3727301, 59.12
JIYAECO, EQ, 18-Oct-2019,42.7,42.8,43.9,42.1,42.9,42.9,43.0,159070,68.4,832, 85543, 53.78
JKCEMENT, EQ, 18-Oct-2019,1067.25,1075.9,1143.75,1059.8,1131.05,1129.9,1115.49,81643,910.72,10074, 46283, 56.69
JKIL, EQ, 18-Oct-2019,148.55,148.7,160.95,148.7,159.0,159.5,154.65,1341378,2074.41,7577, 905435, 67.50
JKLAKSHMI, EQ, 18-Oct-2019,286.45,289.4,292.1,286.0,286.2,288.0,289.11,27806,80.39,1868, 18749, 67.43
JKPAPER, EQ, 18-Oct-2019,121.0,121.0,124.65,120.1,123.6,123.6,123.04,1371053,1686.96,12806, 509598, 37.17
JKTYRE, EQ, 18-Oct-2019,67.05,67.5,69.15,67.15,68.05,67.85,68.0,448442,304.96,3196, 157707, 35.17
JMA, EQ, 18-Oct-2019,24.15,26.0,26.0,23.85,24.5,24.7,25.19,1899,0.48,23, 1778, 93.63
JMCPROJECT, EQ, 18-Oct-2019,109.25,110.75,110.75,107.25,109.5,109.9,109.3,18729,20.47,1037, 11543, 61.63
JMFINANCIL, EQ, 18-Oct-2019,72.6,73.0,77.15,71.2,71.2,72.35,73.41,780984,573.31,15648, 483345, 61.89
JMTAUTOLTD, EQ, 18-Oct-2019,1.15,1.1,1.2,1.1,1.15,1.15,1.17,112887,1.32,56, 73157, 64.81
JOCIL, EQ, 18-Oct-2019,86.05,85.05,89.5,85.0,89.5,89.45,87.15,1209,1.05,29, 732, 60.55
JPASSOCIAT, EQ, 18-Oct-2019,2.05,2.05,2.25,2.0,2.2,2.15,2.17,7422711,160.82,1709, 3689370, 49.70
JPINFRATEC, EQ, 18-Oct-2019,1.2,1.25,1.25,1.15,1.25,1.25,1.24,1715428,21.19,467, 1025429, 59.78
JPOLYINVST, EQ, 18-Oct-2019,11.5,11.3,12.05,11.25,12.05,12.05,11.78,528,0.06,14, 395, 74.81
JPPOWER, EQ, 18-Oct-2019,1.15,1.15,1.25,1.1,1.2,1.15,1.16,3010883,34.93,626, 2249811, 74.72
JSL, EQ, 18-Oct-2019,33.95,33.8,35.0,33.8,34.7,34.65,34.55,265179,91.63,818, 179189, 67.57
JSLHISAR, EQ, 18-Oct-2019,64.5,64.45,66.7,64.3,64.65,65.1,65.29,131947,86.15,963, 60466, 45.83
JSWENERGY, EQ, 18-Oct-2019,66.4,66.4,68.9,66.4,68.25,68.55,67.76,686912,465.45,4620, 420344, 61.19
JSWHL, EQ, 18-Oct-2019,2751.45,2711.4,2779.55,2662.0,2746.0,2746.3,2750.64,954,26.24,197, 759, 79.56
JSWSTEEL, EQ, 18-Oct-2019,222.95,222.1,225.2,220.3,222.15,223.35,223.3,9026105,20155.28,46096, 1918328, 21.25
JTEKTINDIA, EQ, 18-Oct-2019,79.8,79.7,86.3,79.4,84.2,84.75,84.1,140173,117.89,1821, 58536, 41.76
JUBILANT, EQ, 18-Oct-2019,472.95,473.0,510.9,472.1,507.1,503.05,494.58,566130,2799.96,17073, 139824, 24.70
JUBLFOOD, EQ, 18-Oct-2019,1343.2,1344.05,1380.0,1331.05,1365.0,1359.6,1352.2,702710,9502.03,23941, 147999, 21.06
JUBLINDS, EQ, 18-Oct-2019,100.45,100.1,103.9,100.0,101.7,102.45,102.08,10988,11.22,285, 5371, 48.88
JUMPNET, EQ, 18-Oct-2019,55.5,55.0,55.0,53.9,54.5,54.25,54.28,97044,52.67,95, 91922, 94.72
JUNIORBEES, EQ, 18-Oct-2019,285.71,287.0,289.96,285.05,289.5,289.16,289.06,190534,550.76,1906, 150622, 79.05
JUSTDIAL, EQ, 18-Oct-2019,606.25,608.0,636.0,605.5,633.8,634.2,624.34,2361236,14742.13,48757, 194336, 8.23
JYOTHYLAB, EQ, 18-Oct-2019,161.85,161.0,174.0,160.95,169.05,172.3,169.2,588230,995.31,4053, 531242, 90.31
KABRAEXTRU, EQ, 18-Oct-2019,67.9,68.4,73.0,68.1,68.7,68.75,70.41,33566,23.63,616, 10091, 30.06
KAJARIACER, EQ, 18-Oct-2019,554.1,555.1,567.0,537.55,559.1,552.5,556.73,268271,1493.55,9088, 145674, 54.30
KAKATCEM, EQ, 18-Oct-2019,153.85,154.1,158.65,154.1,158.0,157.65,157.54,9231,14.54,289, 7258, 78.63
KALPATPOWR, EQ, 18-Oct-2019,440.15,441.75,453.0,439.75,447.6,447.65,447.34,242764,1085.99,4579, 220528, 90.84
KAMATHOTEL, EQ, 18-Oct-2019,36.35,36.35,37.5,36.0,37.25,37.35,37.08,30266,11.22,592, 16897, 55.83
KAMDHENU, EQ, 18-Oct-2019,101.05,95.2,104.75,95.2,100.95,101.9,101.16,3734,3.78,132, 2914, 78.04
KANANIIND, EQ, 18-Oct-2019,2.7,2.7,2.95,2.55,2.7,2.75,2.71,407,0.01,13, 404, 99.26
KANORICHEM, EQ, 18-Oct-2019,41.15,41.0,43.2,41.0,42.15,42.4,42.46,7624,3.24,154, 5127, 67.25
KANSAINER, EQ, 18-Oct-2019,525.2,529.3,546.7,520.25,538.0,541.2,538.29,674483,3630.65,27925, 452941, 67.15
KARDA, EQ, 18-Oct-2019,161.65,161.9,167.2,156.0,160.3,162.1,162.6,96018,156.12,1281, 34123, 35.54
KARMAENG, EQ, 18-Oct-2019,9.85,9.05,10.6,9.05,10.6,10.15,9.64,367,0.04,17, 211, 57.49
KARURVYSYA, EQ, 18-Oct-2019,56.9,56.9,59.15,55.0,56.0,56.05,56.92,1039802,591.87,7062, 697316, 67.06
KAYA, EQ, 18-Oct-2019,374.8,375.6,412.0,374.45,401.0,401.15,396.58,24270,96.25,2119, 8266, 34.06
KCP, EQ, 18-Oct-2019,65.0,65.0,65.85,64.5,65.85,65.7,65.57,120230,78.83,397, 110217, 91.67
KCPSUGIND, EQ, 18-Oct-2019,11.9,11.95,12.05,11.25,11.85,11.85,11.67,212831,24.84,468, 108789, 51.12
KDDL, EQ, 18-Oct-2019,371.3,397.7,397.7,357.0,357.0,367.95,377.59,1264,4.77,96, 959, 75.87
